cell,keyword,group,expected_branch,actual_branch,branch_correct,category,aliases,aliases_count,aliases_has_qualifier,summary_len,etymology_len,naming_len,naming_under_270,naming_last_sentence,naming_last_sentence_len,typo_suggestion,typo_suggestion_correct,thinking_chars,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,stop_reason,latency_ms
baseline,mutex,in_shot,term_entry,term_entry,True,동시성,뮤텍스 | mutual exclusion,2,False,23,121,282,False,1965년 에츠허르 다이크스트라가 상호 배제 문제를 정식화한 이후 해당 개념의 축약어 'mutex'가 운영체제 설계에서 표준 용어로 굳어졌다.,79,,,55,331,563,0,3364,tool_use,7681
baseline,jpa,in_shot,term_entry,term_entry,True,DB,Java Persistence API | 자바 영속성 API,2,True,25,151,290,False,'Persistence'라는 단어 선택 자체가 ORM의 본질인 '객체 생존 기간의 연장'을 직접적으로 드러낸다.,62,,,53,332,532,3364,0,tool_use,6275
baseline,daemon,in_shot,term_entry,term_entry,True,기타,데몬 | demon,2,False,20,100,285,False,"Unix 관습에 따라 데몬 프로세스 이름 끝에 'd'를 붙이며(httpd, sshd, cron'd), 현대 운영체제에서도 네트워크 요청 수신, 로그 수집, 스케줄링 등 배경 작업의 표준 용어로 자리 잡고 있다.",117,,,56,331,540,3364,0,tool_use,5972
baseline,bug,in_shot,term_entry,term_entry,True,기타,버그,1,False,21,122,226,True,기계 속을 기어다니며 예측 불가능한 고장을 일으키는 '벌레'라는 은유가 소프트웨어의 숨은 결함에 그대로 이식되어 오늘날 표준 용어로 자리 잡았다.,81,,,53,331,508,3364,0,tool_use,7371
baseline,idempotent,out_of_shot,term_entry,term_entry,True,네트워크,멱등성 | idempotency,2,False,27,123,255,True,"HTTP 명세(RFC 7231)는 GET·PUT·DELETE를 멱등 메서드로, POST를 비멱등 메서드로 규정한다.",64,,,117,334,570,3364,0,tool_use,9416
baseline,cookie,out_of_shot,term_entry,term_entry,True,네트워크,쿠키 | HTTP 쿠키 | HTTP cookie,3,True,26,125,292,False,"HTTP는 기본적으로 무상태(stateless) 프로토콜이기 때문에, 서버가 클라이언트에게 작은 데이터 조각을 건네주고 이후 요청마다 그것을 그대로 되돌려 받아 상태를 식별하는 방식이 'magic cookie'의 원래 의미와 정확히 일치했다.",135,,,184,331,586,3364,0,tool_use,10241
baseline,semaphore,out_of_shot,term_entry,term_entry,True,동시성,세마포어 | 세마포,2,False,28,113,311,False,P(감소·대기)와 V(증가·신호) 연산은 네덜란드어 passeren(통과하다)과 vrijgeven(해제하다)의 첫 글자에서 왔다.,72,,,105,333,618,3364,0,tool_use,11464
baseline,request,out_of_shot,term_entry,term_entry,True,네트워크,리퀘스트 | 요청,2,False,23,119,304,False,어원의 '구하다'는 능동적 행위성이 통신에서 항상 클라이언트가 먼저 메시지를 보낸다는 방향성을 명확히 드러낸다.,62,,,333,331,635,3364,0,tool_use,10851
baseline,boolean,out_of_shot,term_entry,term_entry,True,기타,불리언 | 불린 | bool,3,False,34,148,305,False,ALGOL 60(1960)이 최초로 boolean을 공식 예약어로 채택하면서 프로그래밍 언어 전반의 표준 용어로 정착했다.,68,,,57,331,617,3364,0,tool_use,26727
baseline,null,out_of_shot,term_entry,term_entry,True,기타,널 | 널 값,2,False,23,133,295,False,"Hoare 본인은 훗날 이를 ""10억 달러짜리 실수""라고 표현했는데, null 참조를 역참조할 때 발생하는 런타임 오류가 수십 년간 막대한 장애를 유발했기 때문이다.",92,,,73,331,601,3364,0,tool_use,10239
baseline,apple,branch_check,not_dev_term,not_dev_term,True,,,0,False,0,0,0,False,,0,,,69,331,68,3364,0,tool_use,3071
baseline,lunch,branch_check,not_dev_term,not_dev_term,True,,,0,False,0,0,0,False,,0,,,34,331,57,3364,0,tool_use,2350
baseline,mutext,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,mutex,True,49,332,79,3364,0,tool_use,2560
baseline,redus,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,redis,True,99,332,92,3364,0,tool_use,2612
baseline,semafore,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,semaphore,True,122,333,97,3364,0,tool_use,3423
closing,mutex,in_shot,term_entry,term_entry,True,동시성,뮤텍스 | mutual exclusion,2,False,23,114,286,False,"락을 소유한 스레드만이 해제 권한을 가진다는 '소유권' 개념이 세마포어(semaphore)와 구별되는 지점이며, 이 소유권 모델이 뮤텍스라는 이름 자체에 이미 내포되어 있다.",97,,,78,331,587,0,3519,tool_use,10035
closing,jpa,in_shot,term_entry,term_entry,True,DB,Java Persistence API | 자바 영속성 API,2,True,25,151,304,False,현재는 Jakarta EE로 이관되어 Jakarta Persistence라는 이름으로도 불린다.,53,,,76,332,535,3519,0,tool_use,9624
